YearCountry,Country,Year,Gold,Silver,Bronze,Total,Athletes,Population,GDP,Latitude,Longitude,Altitude(meters)
2008 Colombia , Colombia ,2008,0,2,1,3,14,46475000,244.54,,,
2008 Croatia , Croatia ,2008,0,2,3,5,10,4290612,69.91,,,
2008 Cuba , Cuba ,2008,3,10,17,30,43,11241161,60.81,,,
2008 Czech Republic , Czech Republic ,2008,3,3,1,7,30,10504203,225.45,,,
2008 Denmark , Denmark ,2008,2,2,3,7,3,5580516,343.88,,,
2008 Dominican Republic , Dominican Republic ,2008,1,1,0,2,6,9378818,45.81,,,
2008 Ecuador , Ecuador ,2008,0,1,0,1,11,14483499,54.21,,,
2008 Egypt , Egypt ,2008,0,0,2,2,4,81927000,162.82,,,
2008 Estonia , Estonia ,2008,1,1,0,2,14,1318005,23.88,,,
2008 Ethiopia , Ethiopia ,2008,4,2,1,7,27,84320987,26.64,,,
2008 Finland , Finland ,2008,1,1,2,4,19,5407040,271.97,,,
2008 France , France ,2008,7,16,20,43,48,65350000,2831.79,,,
2008 Georgia , Georgia ,2008,3,2,2,7,2,4469200,12.8,,,
2008 Germany , Germany ,2008,16,11,14,41,53,81831000,3623.69,,,
2008 Great Britain , Great Britain ,2008,19,13,19,51,58,62262000,2635.96,,,
2008 Greece , Greece ,2008,0,2,1,3,32,10787690,341.19,,,
2008 Hungary , Hungary ,2008,3,5,2,10,20,9962000,154.23,,,
2008 Iceland , Iceland ,2008,0,1,0,1,3,319575,16.85,,,
2008 India , India ,2008,1,0,2,3,14,1210193422,1224.1,,,
2008 Indonesia , Indonesia ,2008,1,1,4,6,2,237641326,510.24,,,
2008 Iran , Iran ,2008,1,0,1,2,6,76309000,338.19,,,
2008 Ireland , Ireland ,2008,0,1,2,3,16,4588252,263.65,,,
2008 Israel , Israel ,2008,0,0,1,1,4,7859300,201.66,,,
2008 Italy , Italy ,2008,8,9,10,27,45,60776531,2307.31,,,
2008 Jamaica , Jamaica ,2008,5,4,2,11,45,2705827,13.42,,,
2008 Japan , Japan ,2008,9,8,8,25,37,127650000,4849.21,,,
2008 Kazakhstan , Kazakhstan ,2008,2,3,4,9,19,16718000,133.44,,,
2008 Kenya , Kenya ,2008,6,4,6,16,37,38610097,30.52,,,
